status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 5,141226e-04; 1,082592e-03;CEP57;2592;TRUE
OK;negbinomial.size; 4,169794e-11; 1,456510e-10;MTMR2;1675;TRUE
OK;negbinomial.size; 3,721425e-20; 2,085019e-19;MAML2;1010;TRUE
OK;negbinomial.size; 7,655900e-11; 2,639317e-10;CCDC82;2041;TRUE
OK;negbinomial.size; 2,110957e-04; 4,600882e-04;JRKL; 922;TRUE
OK;negbinomial.size; 8,902349e-01; 1,000000e+00;CTD-2383M3.1;  33;FALSE
OK;negbinomial.size; 1,450527e-03; 2,920886e-03;ARHGAP42; 301;TRUE
OK;negbinomial.size; 5,591036e-01; 7,923941e-01;TMEM133;  73;FALSE
OK;negbinomial.size; 4,524031e-01; 6,575619e-01;PGR; 145;FALSE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;TRPC6;  17;FALSE
OK;negbinomial.size; 1,029280e-04; 2,307149e-04;CEP126; 559;TRUE
OK;negbinomial.size; 5,539445e-01; 7,861365e-01;C11orf70; 277;TRUE
OK;negbinomial.size; 3,375083e-04; 7,217744e-04;RP11-732A21.3; 277;TRUE
OK;negbinomial.size; 5,922706e-14; 2,421920e-13;YAP1;2171;TRUE
OK;negbinomial.size; 2,517290e-31; 2,181894e-30;BIRC3; 641;TRUE
OK;negbinomial.size; 2,054550e-26; 1,490959e-25;BIRC2;2612;TRUE
OK;negbinomial.size; 2,777290e-14; 1,158096e-13;TMEM123;3771;TRUE
OK;negbinomial.size; 2,933074e-01; 4,443257e-01;RP11-315O6.1; 222;TRUE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;MMP7;  11;FALSE
OK;negbinomial.size; 5,816478e-01; 8,198829e-01;MMP10;  60;FALSE
OK;negbinomial.size; 4,300323e-50; 7,069369e-49;MMP1; 466;TRUE
OK;negbinomial.size; 1,264503e-03; 2,563244e-03;MMP3; 142;FALSE
OK;negbinomial.size; 1,718472e-46; 2,518557e-45;DCUN1D5;3454;TRUE
OK;negbinomial.size; 2,527966e-05; 5,975858e-05;DYNC2H1; 754;TRUE
OK;negbinomial.size; 2,787703e-15; 1,228887e-14;CASP4;2988;TRUE
OK;negbinomial.size; 6,893559e-10; 2,254522e-09;CASP1; 470;TRUE
OK;negbinomial.size; 5,377286e-05; 1,234591e-04;CARD16; 361;TRUE
OK;negbinomial.size; 1,556996e-02; 2,815064e-02;KBTBD3; 919;TRUE
OK;negbinomial.size; 9,750847e-10; 3,146609e-09;AASDHPPT;2203;TRUE
OK;negbinomial.size; 3,596548e-01; 5,356218e-01;GUCY1A2;  82;FALSE
OK;negbinomial.size; 8,662163e-01; 1,000000e+00;RP11-819C21.1;  77;FALSE
OK;negbinomial.size; 2,562249e-11; 9,053783e-11;CWF19L2;1288;TRUE
OK;negbinomial.size; 6,676051e-04; 1,389014e-03;ALKBH8; 443;TRUE
OK;negbinomial.size; 8,618589e-01; 1,000000e+00;ELMOD1; 127;FALSE
OK;negbinomial.size; 1,977251e-22; 1,224233e-21;SLC35F2;1445;TRUE
OK;negbinomial.size; 6,369750e-04; 1,329442e-03;CUL5;1891;TRUE
OK;negbinomial.size; 9,705251e-54; 1,765020e-52;ACAT1;2732;TRUE
OK;negbinomial.size; 4,864033e-04; 1,025906e-03;NPAT; 890;TRUE
OK;negbinomial.size; 1,507805e-06; 3,912238e-06;ATM;2143;TRUE
OK;negbinomial.size; 7,529793e-01; 1,000000e+00;C11orf65;  78;FALSE
OK;negbinomial.size; 3,055225e-32; 2,743442e-31;KDELC2;1624;TRUE
OK;negbinomial.size; 2,942268e-05; 6,914290e-05;EXPH5; 243;TRUE
OK;negbinomial.size; 5,536023e-07; 1,479126e-06;DDX10;1549;TRUE
OK;negbinomial.size; 9,808893e-06; 2,391400e-05;ZC3H12C; 514;TRUE
OK;negbinomial.size; 2,175538e-06; 5,577124e-06;RDX;3834;TRUE
OK;negbinomial.size; 9,104155e-60; 1,997356e-58;FDX1;3092;TRUE
OK;negbinomial.size; 9,951633e-01; 1,000000e+00;RP11-794P6.6;  24;FALSE
OK;negbinomial.size; 2,546487e-36; 2,683594e-35;LAYN;2625;TRUE
OK;negbinomial.size; 4,687614e-06; 1,172425e-05;SIK2; 796;TRUE
OK;negbinomial.size; 4,437174e-02; 7,613363e-02;PPP2R1B;1127;TRUE
OK;negbinomial.size; 4,206091e-01; 6,163354e-01;ALG9; 253;TRUE
OK;negbinomial.size; 5,097861e-02; 8,688075e-02;FDXACB1; 384;TRUE
OK;negbinomial.size; 3,766568e-31; 3,235072e-30;C11orf1;2873;TRUE
OK;negbinomial.size; 4,137108e-01; 6,072174e-01;CRYAB;  46;FALSE
OK;negbinomial.size; 6,876775e-04; 1,429122e-03;DIXDC1; 416;TRUE
OK;negbinomial.size; 6,580765e-04; 1,370801e-03;DLAT;1149;TRUE
OK;negbinomial.size; 4,844577e-01; 6,994003e-01;PIH1D2; 251;TRUE
OK;negbinomial.size; 9,671618e-19; 5,023985e-18;C11orf57;2243;TRUE
OK;negbinomial.size;1,174688e-103;6,494401e-102;TIMM8B;3842;TRUE
OK;negbinomial.size; 1,882616e-24; 1,265028e-23;SDHD;3614;TRUE
OK;negbinomial.size; 9,899402e-01; 1,000000e+00;TEX12;  47;FALSE
OK;negbinomial.size; 2,367939e-04; 5,132345e-04;BCO2; 223;TRUE
OK;negbinomial.size; 9,506961e-43; 1,246000e-41;PTS;3566;TRUE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;RP11-356J5.13;  16;FALSE
OK;negbinomial.size; 1,086207e-47; 1,656789e-46;RP11-356J5.12;1257;TRUE
OK;negbinomial.size; 2,333834e-04; 5,062087e-04;RP11-629G13.1; 333;TRUE
OK;negbinomial.size; 2,879393e-42; 3,700782e-41;NCAM1;1069;TRUE
OK;negbinomial.size; 9,140620e-01; 1,000000e+00;RP11-839D17.3; 126;FALSE
OK;negbinomial.size; 4,974851e-01; 7,156776e-01;TTC12; 241;TRUE
OK;negbinomial.size; 2,666060e-03; 5,232526e-03;DRD2; 240;TRUE
OK;negbinomial.size; 2,198509e-03; 4,353406e-03;ZW10; 645;TRUE
OK;negbinomial.size; 1,839201e-03; 3,668195e-03;USP28; 777;TRUE
OK;negbinomial.size;3,683619e-166;4,661075e-164;NNMT;3257;TRUE
OK;negbinomial.size; 4,891906e-07; 1,316229e-06;C11orf71;1184;TRUE
OK;negbinomial.size; 2,732349e-06; 6,943127e-06;RBM7;2570;TRUE
OK;negbinomial.size; 1,781313e-32; 1,617314e-31;REXO2;3875;TRUE
OK;negbinomial.size; 9,347129e-01; 1,000000e+00;NXPE2;  16;FALSE
OK;negbinomial.size; 4,090914e-60; 9,074758e-59;CADM1;1644;TRUE
OK;negbinomial.size; 4,044164e-06; 1,016017e-05;BUD13; 847;TRUE
OK;negbinomial.size;8,106195e-117;5,517125e-115;ZPR1;3521;TRUE
OK;negbinomial.size; 9,911157e-01; 1,000000e+00;APOA5;  51;FALSE
OK;negbinomial.size; 9,244131e-01; 1,000000e+00;APOA4;  11;FALSE
OK;negbinomial.size; 9,875349e-01; 1,000000e+00;APOC3;  21;FALSE
OK;negbinomial.size; 1,238099e-01; 2,006148e-01;APOA1; 210;TRUE
OK;negbinomial.size; 3,268660e-05; 7,648298e-05;SIK3;1334;TRUE
OK;negbinomial.size; 2,803690e-23; 1,792127e-22;PAFAH1B2;3077;TRUE
OK;negbinomial.size; 6,982877e-02; 1,171178e-01;SIDT2; 493;TRUE
OK;negbinomial.size; 1,257261e-27; 9,491790e-27;TAGLN; 821;TRUE
OK;negbinomial.size; 4,343286e-40; 5,171647e-39;PCSK7;2139;TRUE
OK;negbinomial.size; 5,246344e-02; 8,929271e-02;RNF214;1421;TRUE
OK;negbinomial.size; 6,065509e-06; 1,500965e-05;BACE1; 922;TRUE
OK;negbinomial.size; 5,033368e-01; 7,232849e-01;BACE1-AS; 220;TRUE
OK;negbinomial.size; 6,647795e-15; 2,870646e-14;CEP164;1932;TRUE
OK;negbinomial.size; 1,745211e-05; 4,178832e-05;FXYD6; 282;TRUE
OK;negbinomial.size; 6,611729e-01; 9,124389e-01;MPZL3;  92;FALSE
OK;negbinomial.size; 3,960884e-01; 5,839761e-01;MPZL2; 372;TRUE
