gene;cluster
METTL12;3
SH2D2A;3
MRPS25;3
GPS1;3
eGFP;3
VEGFB;3
NPM3;3
EBNA1BP2;3
MRPL34;3
NDUFS6;3
PDP1;3
ZMAT3;3
SLC35D2;3
GAL;3
MYC;3
PRELID3B;3
RAP2B;3
CNPY2;3
ESRRA;3
KCNMA1;3
RP11-554I8.2;3
ISCU;3
PTPMT1;3
BCL2L1;3
ACAT1;3
MIR99AHG;3
NOP16;3
AURKAIP1;3
MSX1;3
MTCH2;3
APOA1BP;3
TXNRD1;3
MRPS26;3
MDM2;3
PTS;3
TNC;3
MT-ND1;3
YRDC;3
DCUN1D5;3
TMEM126B;3
SAA1;3
CLPTM1L;3
SLC12A8;3
PSME2;3
SAMM50;3
HEG1;3
LRFN4;3
ATP5B;3
STARD10;3
CTSZ;3
CAMK1D;3
SRM;3
RPP40;3
NDUFB2;3
BEX1;3
PKN1;3
TCEAL1;3
FADS3;3
PPP1R15A;3
PBDC1;3
CHI3L1;3
PHLDB2;3
IER3;3
ICAM1;3
TBRG1;3
COX14;3
SNF8;3
MT1G;3
GTF3C6;3
BAX;3
MT-ATP6;3
IL6;3
NDUFC2;3
UBAC1;3
TIMMDC1;3
TP53I3;3
CLNS1A;3
EIF3B;3
ZNF593;3
MPST;3
SIGLEC15;3
RPS10;3
MT-CO3;3
AC006262.4;3
VSTM1;3
FIBP;3
MRPS10;3
PARL;3
DLG1;3
LINC00475;3
SLIRP;3
DPP7;3
TSPY10;3
LARP6;3
RCN2;3
FAM92A1;3
TRMT10C;3
HDDC2;3
ZDHHC12;3
NDUFV1;3
MT-ND4L;4
ATF3;4
HMGB2;4
FN1;4
LINC00704;4
DPYSL3;4
NR4A1;4
TSC22D1;4
GJB2;4
LSP1;4
TRAC;4
CENPW;4
CENPF;4
H2AFZ;4
TXNRD2;4
TMSB4X;4
SGK1;4
UBE2C;4
IAH1;4
KIAA0101;4
ZFP36;4
CKS1B;4
TOP2A;4
CMSS1;4
PBK;4
SNHG25;4
BIRC5;4
AC090498.1;4
HHIP-AS1;4
H2AFX;4
SNHG19;4
NUSAP1;4
PTTG1;4
TFDP1;4
SNHG9;4
CKLF;4
SMC4;4
LOXL1-AS1;4
STMN1;4
HHIP;4
ZWINT;4
MKI67;4
SKA2;4
TOMM5;4
MT-ATP8;4
CHMP1B;4
UBE2T;4
VMP1;4
ARHGDIB;4
TPX2;4
RHOB;4
SEPW1;4
CDKN2C;4
HNRNPAB;4
CENPK;4
TMPO;4
CALD1;4
HSPA1A;4
S100A4;4
HELLS;4
COL4A1;4
MAD2L1;4
RP11-386I14.4;4
AURKB;4
ARHGAP18;4
RRM2;4
HSPB1;4
HIST1H1E;4
LAMA4;4
PRC1;4
POLE3;4
TK1;4
DTYMK;4
PRSS3;4
CYR61;4
CDKN3;4
NRP2;4
CLSPN;4
CDK1;4
FABP5;4
TRIML2;4
AMOTL2;4
CSTF3;4
HMGB1;4
TMEM106C;4
PRPF4B;4
PLD1;4
DNMT1;4
CTGF;4
ANKRD28;4
CTD-3252C9.4;4
SVIL;4
DENND2A;4
USP1;4
H2AFV;4
CENPN;4
CKAP2;4
SMARCD1;4
DAP;4
FEN1;4
HIST1H4C;4
SORBS2;4
CTNNBIP1;4
NUF2;4
TPST1;4
PHGDH;4
SRSF3;4
EIF3J;4
LRRC17;4
ITGAE;4
NR4A2;4
GTSE1;4
AXL;4
TMEM109;4
RRP15;4
CDC20;4
CDC42EP3;4
ZNF22;4
TYMS;4
DCTPP1;4
DHFR;4
GMNN;4
LBH;4
SERTAD4-AS1;4
CENPU;4
TSEN15;4
CCNB1;4
ASPM;4
LOXL1;4
NOG;4
CEP55;4
NUDT15;4
MT-ND6;4
CCNA2;4
COMMD4;4
AP1B1;4
KIF20B;4
DNAJC9;4
HMGB3;4
CYB5B;4
SRSF2;4
SVIP;4
TSPAN9;4
CCDC34;4
FSTL1;4
RGS4;4
MIS18BP1;4
RP11-366H4.1;4
MTHFD2L;4
WDR34;4
TCF19;4
RANBP1;4
CKAP2L;4
LINC01116;4
GOLIM4;4
SMC2;4
RP11-680F8.1;4
DEK;4
PLK1;4
TMA16;4
NTNG1;4
CBX5;4
MBD2;4
AURKA;4
CENPA;4
PXDN;4
KNSTRN;4
DLEU1;4
PRR34-AS1;4
CMC2;4
RNF145;4
CLIC4;4
DEPDC1;4
