gene;cluster
RASSF8;2
SYNGR1;2
BLVRA;2
UQCC1;2
NADSYN1;2
DPP7;2
MAD2L2;2
NDUFV1;2
UFD1L;2
KRT3;2
PLOD2;3
MME;3
LOX;3
FN1;3
LINC00704;3
UBE2C;3
ISG20;3
SERPINE2;3
SMC4;3
C4orf3;3
TMSB4X;3
HHIP-AS1;3
IAH1;3
CYR61;3
HHIP;3
FAM20C;3
CTGF;3
ADGRL4;3
NRP2;3
AXL;3
TRIML2;3
POLD4;3
PRSS3;3
LAMA4;3
CITED2;3
LINC01116;3
SMC2;3
GNG11;3
CDC42EP3;3
DENND2A;3
PHGDH;3
FAM114A1;3
TMBIM1;3
HJURP;3
CENPH;3
RGS4;3
EPB41L3;3
ZNF22;3
FSTL1;3
RP11-366H4.1;3
SRD5A3;3
C1QL1;3
GAS6;3
ACAT2;3
FAM3C;3
CLIC4;3
TAOK3;3
GGH;3
CDC42EP1;3
LOXL3;3
PPP3CA;3
NUP37;3
CMTM7;3
SLC14A1;3
ARHGAP22;3
DKK3;3
SNX9;3
ECM1;3
BCAP29;3
ADAM9;3
SUDS3;3
RIN2;3
CD55;3
AGAP2-AS1;3
ITGA10;3
PSAT1;3
ESM1;3
PTPRE;3
ARL6IP1;3
SSX1;3
RAB32;3
DECR1;3
VEGFC;3
SNX7;3
ZFYVE21;3
RP5-1028K7.2;3
RAD21;3
TMEM263;3
ARL6IP6;3
ASAP1;3
CRNDE;3
EIF1AY;3
SUCLG2;3
FAM216A;3
ACTL6A;3
EBP;3
CD46;3
TRAM1;3
WSB2;3
EIF5A2;3
CHCHD7;3
FUCA2;3
GPAA1;3
PTPRR;3
LINC00998;3
EIF4A3;3
GLTP;3
CCDC80;3
TUBA4A;3
MED30;3
SCOC;3
TPST2;3
STARD4;3
ELOVL5;3
GPX8;3
ALKBH5;3
EFEMP1;3
CDT1;3
ANTXR2;3
UBN1;3
RP11-350J20.12;3
FDPS;3
TNIP1;3
STEAP1;3
MSRB3;3
SQRDL;3
PLS3;3
RBMS1;3
RRBP1;3
AP1S2;3
HERPUD1;3
INHBA;3
SGCE;3
SEC23A;3
PPP1R12A;3
PHF11;3
PSMD9;3
CRIP2;3
CLDND1;3
TACC1;3
MTHFD2;3
RAP1B;3
PPA2;3
COMMD8;3
ANPEP;3
SDCCAG8;3
EVI2A;3
ITGBL1;3
FGFR1OP2;3
MMP14;3
NPAS2;3
NUCB2;3
SEMA5A;3
TMEM154;3
HS3ST3A1;3
SORBS3;3
TMEM107;3
CES1;3
SUN2;3
IL10RB;3
RFC5;3
MT-ND4L;4
CENPW;4
CENPF;4
ATF3;4
BIRC5;4
TSC22D1;4
PTTG1;4
PBK;4
DPYSL3;4
NR4A1;4
LSP1;4
STMN1;4
TRAC;4
TXNRD2;4
CDKN3;4
TPX2;4
CENPK;4
NUSAP1;4
