gene;cluster
CENPW;4
UBE2C;4
BIRC5;4
PBK;4
KIAA0101;4
CKS1B;4
H2AFZ;4
LINC00704;4
PTTG1;4
MKI67;4
TPX2;4
CDKN3;4
SMC4;4
CDC20;4
AURKB;4
NUSAP1;4
STMN1;4
PRC1;4
CCNB1;4
UBE2T;4
RRM2;4
H2AFX;4
CENPK;4
MAD2L1;4
CDK1;4
TK1;4
DTYMK;4
NUF2;4
ZWINT;4
SKA2;4
CLSPN;4
TMPO;4
TFDP1;4
CKAP2;4
HELLS;4
DNMT1;4
CENPN;4
TMEM106C;4
FEN1;4
CKLF;4
CCNA2;4
HHIP-AS1;4
HNRNPAB;4
CALD1;4
AURKA;4
ASPM;4
CCNB2;4
HHIP;4
HIST1H4C;4
LOXL1-AS1;4
KPNA2;4
GTSE1;4
TUBA3C;4
CDKN2C;4
UBE2S;4
CEP55;4
CTGF;4
HIST1H1E;4
HMGB1;4
USP1;4
CENPA;4
TMEM160;4
CKS2;4
TYMS;4
GMNN;4
DCTPP1;4
CCDC34;4
POLE3;4
KIF20B;4
H2AFV;4
CENPU;4
ARHGAP18;4
ANKRD28;4
HMMR;4
AXL;4
HJURP;4
DEPDC1;4
FABP5;4
NRP2;4
DNAJC9;4
LOXL1;4
KNSTRN;4
PARP1;4
HMGB3;4
MIS18BP1;4
MT-ND6;4
SGOL1;4
SRSF3;4
DHFR;4
ANP32E;4
PLD1;4
SVIP;4
TMEM109;4
GINS2;4
WDR34;4
ITGAE;4
TRIP13;4
TACC3;4
CTNNBIP1;4
RNASEH2A;4
SERTAD4-AS1;4
COMMD4;4
CKAP2L;4
RANBP1;4
NUDT15;4
DDX39A;4
CYB5B;4
DLGAP5;4
TCF19;4
SPC25;4
PHGDH;4
CMC2;4
HNRNPM;4
SORBS2;4
RRM1;4
ANLN;4
DEK;4
TEX30;4
RHNO1;4
CDCA5;4
TSEN15;4
CENPE;4
C1QL1;4
RGS4;4
FOXM1;4
HIST1H1C;4
CBX5;4
TFAM;4
DHRS2;4
POP7;4
CDCA3;4
RAD51C;4
ARL6IP1;4
TMA16;4
GALNT1;4
NDC80;4
MBD2;4
ECT2;4
GOLIM4;4
ZNF22;4
HMGN2;4
KIF23;4
AP1B1;4
YEATS4;4
NASP;4
GGH;4
HIST2H2AC;4
DBF4;4
C9orf142;4
MZT1;4
MAZ;4
CDCA8;4
AMD1;4
RPA3;4
MRPL13;4
ENSA;4
SRSF10;4
PSMB9;4
CENPM;4
RFC3;4
NTNG1;4
ADI1;4
GPSM2;4
SFPQ;4
DLEU1;4
PCNA;4
SAE1;4
MBNL1;4
TWIST2;4
BCL7C;4
LSM6;4
VRK1;4
DIAPH3;4
PSMC3IP;4
KIF22;4
RAD51AP1;4
APITD1;4
CLIC4;4
TPM1;4
PPP3CA;4
WHSC1L1;4
CDC42EP1;4
CBX1;4
NUP37;4
SIGMAR1;4
C7orf49;4
PCIF1;4
NUCKS1;4
CNRIP1;4
ASF1B;4
EIF5A;4
MCM5;4
NF2;4
CREB3L2;4
UBALD2;4
GLIPR2;4
ACYP1;4
MT-ND3;4
STAG1;4
MELK;4
PRKDC;4
E2F1;4
PGP;4
MCM3;4
PAWR;4
TROAP;4
RACGAP1;4
EXOSC8;4
PXMP2;4
PCGF5;4
FAM111A;4
PHF19;4
MAGOHB;4
PSIP1;4
SRSF7;4
LRR1;4
G3BP1;4
PSMG3;4
PCM1;4
ATAD5;4
SUDS3;4
FOXD1;4
CALM2;4
CASP8;4
ORC6;4
WHSC1;4
MRPL15;4
CCDC144NL-AS1;4
RP5-1028K7.2;4
FBXO5;4
VEPH1;4
SSX1;4
HOXB2;4
ARL6IP6;4
SIVA1;4
SPDL1;4
RGS3;4
ATAD2;4
DLEU2;4
ARHGAP29;4
ARHGAP11A;4
RFC2;4
CDCA7;4
RFC4;4
FGD5-AS1;4
LMNB1;4
RFC1;4
KHSRP;4
PAQR4;4
SS18L2;4
NAA38;4
SMIM10L1;4
EPB41L2;4
SNRPG;4
UNG;4
EIF1AY;4
MYCBP2;4
ACTL6A;4
RMI2;4
KIAA1524;4
MND1;4
ANPEP;4
THAP7;4
HNRNPR;4
GGCT;4
SLC39A10;4
LMNB2;4
C9orf40;4
CDCA2;4
GPAA1;4
PHF14;4
MCM4;4
SNRPD1;4
PSMB8;4
MIS18A;4
NAA50;4
EFEMP1;4
HNRNPD;4
SNX5;4
MED30;4
SPC24;4
CENPB;4
NRGN;4
ERH;4
SNRPF;4
EIF4E;4
PMVK;4
RNF26;4
MDFIC;4
TCTEX1D2;4
CASC5;4
TOPBP1;4
RBMS1;4
CDC25B;4
C8orf4;4
SSFA2;4
JPX;4
TUBB4B;4
LYAR;4
CDT1;4
CHAF1A;4
MKKS;4
NUDT1;4
TJP1;4
SRSF6;4
SCLT1;4
SLC35A4;4
SKA3;4
FAM96A;4
PTMS;4
KIFC1;4
HIRIP3;4
FAM133B;4
RNASEH2C;4
HN1;4
LSM5;4
U2SURP;4
ANKRD9;4
RP11-350J20.12;4
BAZ1B;4
ASCC3;4
MSRB3;4
ASNSD1;4
C3orf14;4
MTHFD2;4
EXOG;4
HOXA10;4
MRPS14;4
ACTN4;4
PPIH;4
KMT5A;4
ESCO2;4
H1FX;4
HNRNPA2B1;4
KIF4A;4
HAUS1;4
PHF5A;4
NCAPD2;4
LETM2;4
CENPV;4
PEG10;4
SUPT16H;4
HNRNPH1;4
