gene;cluster
CA9;3
RP11-367F23.2;3
CACNA1B;3
CD59;3
MALAT1;3
VIM;3
C10orf10;3
P4HA1;3
SCD;3
GAPDH;3
ENO2;3
TUBA1A;3
ITGA5;3
CD63;3
POC1B;3
ATP2B1;3
BTG1;3
UBC;3
RP11-575F12.3;3
ANG;3
EGLN3;3
ERO1A;3
PGF;3
ISG20;3
LAT;3
ALDOA;3
VKORC1;3
WSB1;3
ALDOC;3
LPO;3
MYL12A;3
LMAN1;3
MMP9;3
GNAS;3
GPI;3
FXYD5;3
RPS4Y1;3
CCNI;3
SMAP1;3
DDIT4;3
INSIG1;3
PYGL;3
PERP;3
DNASE1L1;3
PHGDH;3
LINC00261;3
RPL36A;3
BHLHE40;3
EIF1;3
ITM2B;3
SRPX;3
CALU;3
PPDPF;3
KDELR1;3
TMED9;3
SPINK1;3
TPI1;3
CAV1;3
EIF3E;3
NINJ1;3
RGS17;3
ANPEP;3
NBEAL1;3
C4orf47;3
ITGB1;3
CCDC107;3
SDCBP;3
CLEC2B;3
TGFB1I1;3
SOD2;3
GLIPR1;3
IKBIP;3
TMEM45A;3
ELL2;3
MVD;3
PLP2;3
IL1RAP;3
SLC2A3;3
GABARAP;3
DLGAP4;3
POLD4;3
HES4;3
TMED2;3
TMBIM1;3
EPB41L3;3
CD99;3
IDI1;3
FNTA;3
FAM114A1;3
MSANTD3;3
FUT11;3
SQLE;3
DDX50;3
PRSS23;3
NUCB2;3
ECM1;3
FSCN1;3
SAP30;3
RAC2;3
CD55;3
WDR45B;3
PTPRR;3
ACTG1;3
JMJD6;3
LINC01551;3
SEMA5A;3
NOL3;3
SEC13;3
NRN1;3
NUCB1;3
TMEM70;3
PALMD;3
KCNN4;3
TMBIM6;3
PHF1;3
CFAP36;3
PDIA4;3
LOXL3;3
CSRP2;3
SEC24A;3
ESD;3
TUBA4A;3
VEGFC;3
MVK;3
PBX3;3
ZCCHC7;3
GPAA1;3
TMED3;3
HMGA1;3
RDH11;3
LRP1;3
CCDC53;3
F11R;3
RORA;3
PDLIM2;3
AHNAK2;3
ZBTB25;3
EIF4A3;3
RAB32;3
ANTXR2;3
ACSL3;3
NSMCE1;3
MPZL1;3
DNTTIP1;3
ENO1;4
ID3;4
SERINC2;4
CCDC30;4
GSTM3;4
HSD11B1;4
AC019172.2;4
PDIA6;4
HK2;4
BZW1;4
ITPR1;4
TKT;4
EIF4A2;4
TM4SF19;4
HEXB;4
GLRX;4
CYSTM1;4
MAD1L1;4
SERPINE1;4
TMEM176B;4
PGK1;4
CTSB;4
CTSL;4
HSPA5;4
PAEP;4
MIR210HG;4
CD151;4
NRIP3;4
LDHA;4
CD44;4
CMB9-22P13.1;4
FOSL1;4
CORO1B;4
MMP1;4
ZPR1;4
HSPA8;4
PFKP;4
PSAP;4
PGAM1;4
GSTO1;4
BNIP3;4
IGFBP6;4
ATP5B;4
TMEM255B;4
NPC2;4
PDIA3;4
ANXA2;4
PARP16;4
PKM;4
BCL2A1;4
SEMA4B;4
MT1X;4
KRT15;4
GRN;4
NPC1;4
RPL17;4
ID1;4
PI3;4
ZFAS1;4
EEF1A2;4
EEF2;4
GDF15;4
SBSN;4
FTL;4
RRAS;4
LAIR2;4
EIF3D;4
CCT8;4
PFKL;4
TPM2;4
CALR;4
SP100;4
NARF;4
DARS;4
APLP2;4
RBCK1;4
DHCR7;4
IL36RN;4
DNER;4
EIF3M;4
ATP13A3;4
TUBB6;4
CCNG1;4
RTN4;4
HK1;4
STC2;4
C1QL1;4
DDIT3;4
PDCD6;4
RPN2;4
RAB20;4
TRPT1;4
ECI2;4
CD300A;4
CLMP;4
CCT7;4
VDAC2;4
IDH2;4
CTNNA2;4
ATP6AP2;4
SERPINB6;4
PPP2R1A;4
PITPNC1;4
AP3S1;4
PLD3;4
CTSA;4
DDOST;4
ERGIC3;4
RAB31;4
MED10;4
FGF10-AS1;4
C6orf48;4
C15orf48;4
LGALS3;4
RNH1;4
SFR1;4
VAT1L;4
HTRA1;4
CDKN1A;4
LGALS3BP;4
PTPRN;4
CALB2;4
EEF1G;4
APP;4
GNAI3;4
SLC25A3;4
LIMCH1;4
PDK1;4
ZNF560;4
PDXK;4
PHLDA3;4
MPI;4
WFDC3;4
CSNK2B;4
CTSD;4
SLC22A18;4
ATP1A1;4
CATSPER1;4
GNB2L1;4
UQCRC1;4
FDFT1;4
C14orf166;4
PRCD;4
CAPN2;4
UQCRC2;4
SERINC3;4
YIF1A;4
MFSD10;4
PSMB1;4
IMPDH2;4
IGHA1;4
CSNK1D;4
EIF3H;4
ATP1B3;4
SPATS2;4
ERP44;4
FTH1;4
TRIB3;4
ARPC2;4
GSN;4
SLC14A1;4
TCERG1L;4
SLCO4A1;4
CAMK2N1;4
AP2M1;4
PRDX4;4
PSMC4;4
CPNE1;4
WDR1;4
RARS;4
PLK2;4
HEXA;4
MBOAT7;4
PSMD13;4
GHITM;4
ATP5A1;4
PSMD8;4
ACTA2;4
FCGRT;4
OSER1;4
NEK6;4
MYL12B;4
LTBP1;4
LTA4H;4
TSG101;4
TRAPPC6A;4
CD81;4
BRI3;4
METTL5;4
ZNF581;4
FEZ2;4
LILRB4;4
TPD52;4
DGKG;4
SDHA;4
RTN4RL2;4
CST3;4
NIFK;4
LINC00922;4
FAM131C;4
PSMD4;4
SLC35B2;4
GAPLINC;4
ILK;4
EIF3I;4
TMEM134;4
CRYL1;4
BSG;4
REEP6;4
CHMP5;4
NDUFS2;4
CADM1;4
CSNK1E;4
MAP1LC3B;4
ANXA11;4
TMEM132A;4
HSP90AB1;4
PIGT;4
TGFA;4
ENKUR;4
MFI2;4
ACADVL;4
EIF3L;4
FBXO17;4
SERPINB7;4
GATSL3;4
LAMP1;4
RP3-460G2.2;4
RRAGC;4
PLIN3;4
PMP22;4
ETHE1;4
PSMC1;4
SMPD1;4
RP11-49I11.1;4
ATXN10;4
PRR9;4
TRAP1;4
CDKN2C;5
CYR61;5
S100A11;5
S100A6;5
S100A4;5
S100A2;5
RGS4;5
NUCKS1;5
CENPF;5
PXDN;5
IAH1;5
CDC42EP3;5
CALM2;5
NR4A2;5
NRP2;5
FN1;5
PTMA;5
ANKRD28;5
TMEM158;5
CMSS1;5
H1FX;5
TM4SF1;5
MME;5
HES1;5
CXCL8;5
C4orf3;5
HHIP-AS1;5
HHIP;5
HMGB2;5
SORBS2;5
TRIML2;5
HSPA1A;5
LAMA4;5
ARHGAP18;5
CTGF;5
CITED2;5
HSPB1;5
GNG11;5
LRRC17;5
CALD1;5
DENND2A;5
TMSB4X;5
STC1;5
EIF4EBP1;5
FABP5;5
ANXA1;5
LINC00704;5
SVIL;5
ZNF22;5
PLAU;5
PTMS;5
ARHGDIB;5
NDUFA12;5
GJB2;5
TSC22D1;5
MMP14;5
DHRS2;5
CALM1;5
SCG5;5
SRP14;5
B2M;5
DUT;5
EID1;5
TPM1;5
LOXL1-AS1;5
LOXL1;5
SERPINF1;5
SKA2;5
VMP1;5
H3F3B;5
CHMP1B;5
DSTN;5
ACTN4;5
ZFP36;5
AXL;5
SNRPD3;5
ENSA;5
LBH;5
HIST1H1C;5
HIST1H1E;5
GOLIM4;5
WBP5;5
NOG;5
CTNNBIP1;5
FKBP1A;5
HMGB3;5
CRIP2;5
PLD1;5
CNN3;5
ARPC5;5
COX6C;5
RP11-366H4.1;5
SRP9;5
HSPA1B;5
CD82;5
NTNG1;5
TMA16;5
DKK3;5
PPIA;5
HIST2H2BE;5
FSTL1;5
HCFC1R1;5
SNX9;5
TMEM109;5
CBX5;5
SOX4;5
TSPAN9;5
PHF11;5
MRPL15;5
MYL9;5
MARCKSL1;5
SPATS2L;5
DCBLD2;5
GALNT1;5
PRKDC;5
ARF4;5
TAX1BP3;5
TCF4;5
ANXA5;5
RIN2;5
S100A13;5
COL6A1;5
ADA;5
LSM6;5
MZT1;5
TMSB10;5
HNRNPC;5
GLIPR2;5
C8orf4;5
LINC00998;5
RGS3;5
PPP3CA;5
SMAD1;5
INHBA;5
PTGES3;5
EMP1;5
CLIC4;5
COMT;5
DUSP14;5
SMC2;5
AP1B1;5
RGS2;5
CDC42EP1;5
RBX1;5
CFAP97;5
JUNB;5
TSEN15;5
RP11-395G23.3;5
OAZ1;5
MAP4K4;5
TAOK3;5
ENY2;5
TNFRSF12A;5
AMIGO2;5
UBE2E3;5
MAZ;5
DIAPH3;5
DDX5;5
MCM5;5
RND3;5
S100A16;5
BPGM;5
CREB3L2;5
ASS1;5
ADAM9;5
ITGA10;5
ARHGAP22;5
ARL6IP1;5
MAN1A1;5
MORF4L2;5
HMGA2;5
RP11-350J20.12;5
GPSM2;5
MBNL1;5
CBX1;5
SELT;5
LMNB1;5
WHSC1L1;5
UBE2V2;5
LUC7L3;5
RRBP1;5
HOXB2;5
TPM4;5
MYL6;5
CTHRC1;5
TWIST2;5
TGM2;5
PAQR4;5
SEPT7;5
PDLIM3;5
UBE2N;5
DLEU1;5
GALNT7;5
MAF1;5
ATP13A2;5
IL32;5
ACYP1;5
PDLIM7;5
ZFP36L1;5
TSC22D3;5
C5orf56;5
UBE2D3;5
BCAP29;5
MTMR11;5
SMC3;5
PTPRE;5
MTDH;5
NR2F1;5
NDUFC1;5
PSAT1;5
PHLDA1;5
CCDC144NL-AS1;5
FAM200B;5
OSTC;5
PEG10;5
HMGCS1;5
BRCA1;5
ST8SIA1;5
TCTEX1D2;5
CD9;5
LRIG1;5
CTNNB1;5
BBX;5
NCAM1;5
RHNO1;5
ARL6IP6;5
JUN;5
SUMO2;5
EIF4E;5
INO80C;5
VPS29;5
OSR2;5
TCEB2;5
ANP32B;5
