UBC;TALDO1;SORBS1;SNCG;REEP6;PLIN2;MGLL;LAMA4;ITGA7;GBE1;GADD45A;FABP4;DHCR7;COL4A1;COL15A1;CMBL;CDKN2C;C3;APOE;APLP2;ALDOA;ALDH2;ACAA2;ABCA1
-3,253737e-01; 4,918552e-01; 2,5000000; 0,624203707; 2,21172479;-0,2020269;-0,5249448534; 0,4681378064;-1,279580e-01;-1,099665e+00;-0,7176520974;-0,11220687; 0,3303839673; 0,8424348667;-0,13590649; 2,115218e+00;-6,633957e-01;-0,2563967855;-0,2888589;-3,057688e-01;-0,9310617379; 0,528658718;-1,934296e-01;-0,44787301
 9,399789e-01; 8,912645e-01;-0,2195021; 0,290125591; 0,76943336;-0,2729278; 0,2381059315;-0,7532346063; 1,587427e-02;-3,353946e-01; 2,5000000000;-0,08419889;-0,5291114929;-0,6171912213;-0,20194992; 1,055620e+00; 2,053134e-01; 0,0457510058;-0,2521147;-1,047705e+00;-0,1246312447;-0,645104659;-4,506583e-01; 0,89698948
-6,807880e-01;-3,925087e-01;-0,2244092;-0,622973557; 0,47686485;-0,2284995;-0,5815817840;-0,7219133547;-7,425474e-02;-8,143064e-01;-0,8158206978;-0,10174941;-0,7762931827;-0,4949819696;-0,16056541; 1,451267e+00;-7,151795e-01;-0,1435825622;-0,2751395;-2,619495e-01;-1,4989593672; 0,097777381; 6,299152e-01;-0,42074372
-2,135964e-01;-1,904372e-01;-0,2201315; 0,579841519; 2,34247173;-0,2672296; 2,2771997600;-0,7492174644; 4,314674e-03;-3,968180e-01; 0,9135970362;-0,08644985;-0,5608140549; 0,9158482432;-0,19664210; 4,992394e-01;-7,909408e-01; 0,0214678188;-0,2550678; 7,619393e-01;-0,1604147703;-0,640531639; 1,731477e+00; 1,27401439
-7,571517e-02; 8,930429e-01;-0,2227081; 1,492821997;-0,46033485;-0,2439005; 0,5202258532;-0,7327708241;-4,301164e-02;-6,482923e-01; 0,0748657576;-0,09566555;-0,0238201745; 2,5000000000;-0,17491129;-7,727791e-01;-7,453060e-01;-0,0779503377; 1,2416764; 8,784783e-01;-0,3717000661; 2,044305611; 8,379842e-01;-0,40496064
 7,770552e-01;-1,475060e-01;-0,2269094; 1,144379656;-0,52867657;-0,2058626; 0,3843001530;-0,2023557811;-1,201769e-01;-4,710616e-02; 0,4331878600;-0,11069169;-0,3631384748;-0,8021708150;-0,13947933;-6,217424e-01;-6,708986e-01;-0,2400510941;-0,2868711;-9,037454e-01;-1,1353675835; 1,629503019;-9,756282e-01; 1,90437860
-2,831635e-01; 2,109388e-01;-0,2265292; 2,500000000;-0,52249174;-0,2093050; 1,0056883617;-0,7083814920;-1,131936e-01;-1,021213e+00; 0,0759375107;-0,10933184; 0,0254712732; 1,2128022194;-0,14268587; 7,182861e-01;-6,776324e-01;-0,2253812039;-0,2850871; 5,012310e-01;-1,2715366581; 1,969232524;-9,795385e-01;-0,44041446
-8,093667e-01;-1,000773e+00;-0,2181448; 1,826092916;-0,38610349;-0,2852166;-0,7029255222;-0,0202802676; 4,080371e-02;-2,029290e-01;-0,1954557841;-0,07934446;-0,4607417210;-0,4340676772;-0,21339676;-3,388812e-02;-8,261257e-01; 0,0981201472;-0,2457461; 1,649254e+00;-0,0558051526; 0,619926353; 1,084716e+00;-0,36261964
 1,110273e+00;-5,329450e-01;-0,2145981;-0,692487004;-0,32840873;-0,3173286;-0,7716278248;-0,7845364406; 1,059474e-01; 1,432202e-01;-0,2832553608;-0,06665925;-0,2820830416;-1,3390273824;-0,24330877; 7,831835e-01;-8,889411e-01; 0,2349671978;-0,2291041;-8,352999e-01;-1,4435844681; 1,518941942; 4,297243e-01;-0,32971099
 1,950892e+00; 5,942457e-01;-0,2201915; 2,206458651;-0,41939620; 2,0299745;-0,6632809040;-0,7488344681; 3,212576e-03;-4,026741e-01; 0,3524409439;-0,08666446; 1,6168942028; 1,9579232763; 2,32056136; 1,092449e+00;-7,898781e-01; 0,0191526473;-0,2553493; 3,833532e-02; 0,7820331295; 0,844769867;-1,044721e+00;-0,38160955
 1,674385e+00;-1,250766e-01;-0,2191774; 1,678995490;-0,40289977;-0,2758680; 2,5000000000;-0,7553073952; 2,183886e-02;-3,037010e-01; 1,6900085558;-0,08303742;-0,5127534153;-0,4401905843;-0,20468868; 1,996062e+00;-8,078387e-01; 0,0582807899;-0,2505909;-1,033640e+00;-0,4160095838; 1,482553416;-2,277776e-01; 1,37874704
 1,186581e-01;-4,806191e-01;-0,2244791; 0,305957727;-0,48914363;-0,2278660; 2,5000000000;-0,2296491168;-7,553992e-02;-8,211353e-01; 2,1111636312;-0,10199967; 0,9132606160;-0,4105725102;-0,15997530; 2,035162e-02;-7,139403e-01;-0,1462823177;-0,2754679; 1,964308e-01;-0,5378565253; 0,236528344; 5,145030e-01;-0,42139295
 4,936439e-01; 9,982015e-01;-0,2231112; 1,035609970; 0,30284819;-0,2402509; 0,5233399468;-0,7301979130;-5,041537e-02;-3,295510e-01; 0,3887242642;-0,09710725; 0,4911564895; 0,5957414695;-0,17151173; 1,105888e+00; 4,857150e-01;-0,0935033063;-0,2690494; 3,507447e-02;-0,0965478657; 0,447466209;-2,720322e-01; 0,42286554
 3,463777e-01; 1,138331e+00;-0,2241172; 2,500000000;-0,48325632;-0,2311428;-0,5872369580;-0,7237768213;-6,889249e-02; 5,975523e-01;-0,1596217644;-0,10070524;-0,7615870392; 0,6025209097;-0,16302759;-3,360121e-02;-3,083910e-01;-0,1323181088;-0,2737697; 1,027822e+00;-0,6925152681; 1,982146274; 8,020547e-01;-0,41803487
 1,472098e+00; 1,434481e+00;-0,2160658; 0,391799244;-0,35228389;-0,3040401; 1,8715861129;-0,7751682254; 7,898974e-02; 6,206365e-01; 0,7601344443;-0,07190862; 0,7543110055; 1,8089180334;-0,23093063; 1,356500e+00;-8,629469e-01; 0,1783373535;-0,2359909; 7,452833e-01; 0,8789828554; 1,797279589; 1,546510e-01; 2,28466608
 3,738259e-02; 7,297091e-01;-0,2165649; 0,193347723; 0,72283258;-0,2995213;-0,7335297646;-0,3101135795; 6,982273e-02;-4,873277e-02;-0,6603762024;-0,07369368; 0,5343853556;-0,7859866259;-0,22672142;-1,150339e+00;-8,541076e-01; 0,1590802627;-0,2383327;-1,311441e-01;-0,6657961893; 0,127538479; 7,154448e-01;-0,34796010
 8,075982e-01; 1,096537e+00;-0,2235470; 1,893761389;-0,47398065; 1,3695825; 1,8363917904;-0,1103373940;-5,841925e-02; 2,289586e-01;-1,1226018271;-0,09866582; 0,9142067424;-0,3244922930;-0,16783659; 1,819143e+00;-3,746986e-01;-0,1103170115;-0,2710941;-6,533772e-01;-0,4279848764; 2,500000000;-2,714115e-01; 0,41426339
 1,432762e-01;-9,635118e-01;-0,2163628;-0,679983565;-0,35711551;-0,3013509; 1,8252072171;-0,7732723760; 7,353430e-02;-2,901086e-02; 0,2879998842;-0,07297094;-0,3709770154;-0,4574687181;-0,22842566; 9,064636e-02;-8,576865e-01; 0,1668771494;-0,2373845; 3,865259e-01; 0,1345762187;-0,667915187;-1,084098e+00;-0,34608512
 1,333698e+00; 1,450345e+00;-0,2241450;-0,624845154;-0,48370839;-0,2308912; 0,2293078430; 0,1075387868;-6,940294e-02;-2,998310e-01;-0,4078569943;-0,10080463; 0,4852263772;-0,4695593790;-0,16279321;-1,359468e+00; 5,510051e-01;-0,1333903974;-0,2739001;-4,817158e-01;-0,4243961067;-0,611368672; 1,068192e+00;-0,41829273
-1,465942e+00; 7,934190e-01;-0,2235353; 0,102895119;-0,47378945;-0,2364119; 0,1079661714;-0,7274914622;-5,820336e-02;-3,059168e-01;-0,0286970271;-0,09862378;-0,3171436638; 0,0889856168;-0,16793572;-1,002065e+00;-7,306572e-01;-0,1098635074;-0,2710390;-1,222391e+00;-0,7352416031;-0,615799266;-1,010331e+00;-0,41263504
 1,535305e+00; 7,327841e-01;-0,2261038;-0,610966745; 0,79809904;-0,2131564;-0,5487558005;-0,7110966895;-1,053804e-01;-3,685790e-01; 2,5000000000;-0,10781041;-0,8616563604;-0,8373001857;-0,14627344; 1,851762e+00;-6,851663e-01;-0,2089681295;-0,2830911;-2,648410e-02; 0,0769164163;-0,597135841; 1,485904e+00; 0,98271865
-9,705079e-02; 1,909442e-01;-0,2239264;-0,626394411;-0,48015144;-0,2328709;-0,5909342140;-0,7249951238;-6,538675e-02;-7,671852e-01;-0,2371110192;-0,10002257; 1,3943120240; 1,7280204187; 2,50000000; 6,977441e-01;-7,237306e-01;-0,1249536021;-0,2728741; 2,626272e-01;-0,5135228566;-0,612957493; 4,150103e-01;-0,41626387
-1,265428e-01;-9,428219e-01;-0,2183563;-0,665859029;-0,38954419;-0,2833016;-0,6988283664;-0,7605479022; 3,691877e-02; 6,531411e-01;-1,0775960706;-0,08010096;-0,4713962757;-1,1751419944;-0,21161292; 4,862298e-01;-8,223796e-01; 0,0899590861;-0,2467385; 7,736873e-01;-0,0959874007;-0,653429944;-1,063595e+00;-0,36458219
