status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size;2,498990e-175;4,419473e-174;CAMK2N1;3994;TRUE
OK;negbinomial.size; 6,351013e-40; 2,539840e-39;MUL1;1920;TRUE
OK;negbinomial.size; 4,444222e-02; 5,208987e-02;FAM43B;  15;FALSE
OK;negbinomial.size;4,625130e-148;6,462234e-147;CDA;2137;TRUE
OK;negbinomial.size;1,059184e-117;1,135526e-116;PINK1;2148;TRUE
OK;negbinomial.size; 2,430887e-02; 2,928866e-02;PINK1-AS;  34;FALSE
OK;negbinomial.size;4,588963e-249;1,268531e-247;DDOST;3419;TRUE
OK;negbinomial.size; 8,583507e-03; 1,079426e-02;KIF17;  47;FALSE
OK;negbinomial.size; 2,449543e-16; 5,707870e-16;SH2D5; 434;TRUE
OK;negbinomial.size;2,135280e-102;1,938692e-101;HP1BP3;3580;TRUE
OK;negbinomial.size; 2,007923e-46; 8,914840e-46;EIF4G3;2259;TRUE
OK;negbinomial.size; 1,019164e-48; 4,685858e-48;ECE1;2669;TRUE
OK;negbinomial.size; 3,524818e-05; 5,240705e-05;NBPF3; 196;FALSE
OK;negbinomial.size; 4,647328e-24; 1,334343e-23;USP48;2213;TRUE
OK;negbinomial.size; 3,997420e-10; 7,487297e-10;HSPG2; 264;TRUE
OK;negbinomial.size; 5,761008e-02; 6,670993e-02;RP1-224A6.3; 190;FALSE
OK;negbinomial.size; 7,079853e-03; 8,976841e-03;LINC00339; 445;TRUE
OK;negbinomial.size; 3,738760e-64; 2,144893e-63;CDC42;4097;TRUE
OK;negbinomial.size; 6,025461e-07; 9,813768e-07;WNT4;  32;FALSE
OK;negbinomial.size; 1,163113e-04; 1,675659e-04;ZBTB40; 315;TRUE
OK;negbinomial.size; 1,290314e-65; 7,554368e-65;EPHB2;1262;TRUE
OK;negbinomial.size; 6,331971e-02; 7,300619e-02;C1orf234;  18;FALSE
OK;negbinomial.size; 5,121826e-30; 1,686130e-29;KDM1A;2164;TRUE
OK;negbinomial.size; 1,629863e-67; 9,807564e-67;LUZP1;3179;TRUE
OK;negbinomial.size; 3,459806e-20; 9,013453e-20;HTR1D;1073;TRUE
OK;negbinomial.size; 1,858638e-07; 3,106027e-07;LINC01355; 187;FALSE
OK;negbinomial.size;5,752411e-196;1,162647e-194;HNRNPR;3487;TRUE
OK;negbinomial.size; 3,239593e-02; 3,856945e-02;ZNF436; 138;FALSE
OK;negbinomial.size; 1,291786e-19; 3,306854e-19;ZNF436-AS1; 670;TRUE
OK;negbinomial.size; 3,697214e-13; 7,752544e-13;TCEA3; 158;FALSE
OK;negbinomial.size; 2,954704e-05; 4,412043e-05;ASAP3;  53;FALSE
OK;negbinomial.size; 4,830851e-07; 7,910392e-07;E2F2;  52;FALSE
OK;negbinomial.size; 1,218759e-07; 2,057951e-07;RP1-150O5.3;  50;FALSE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ID3;1645;TRUE
OK;negbinomial.size; 1,803288e-75; 1,202727e-74;RPL11;4192;TRUE
OK;negbinomial.size; 2,370128e-18; 5,866713e-18;TCEB3;2286;TRUE
OK;negbinomial.size; 2,213985e-03; 2,918199e-03;TCEB3-AS1; 486;TRUE
OK;negbinomial.size; 5,988817e-15; 1,332595e-14;PITHD1;2390;TRUE
OK;negbinomial.size; 5,017743e-37; 1,908527e-36;LYPLA2;3444;TRUE
OK;negbinomial.size;8,100098e-122;8,995214e-121;GALE;3235;TRUE
OK;negbinomial.size;2,552150e-190;4,984461e-189;HMGCL;1555;TRUE
OK;negbinomial.size; 8,425636e-14; 1,811774e-13;FUCA1; 295;TRUE
OK;negbinomial.size; 1,329205e-19; 3,400706e-19;PNRC2;3075;TRUE
OK;negbinomial.size;2,325617e-255;6,685869e-254;SRSF10;3441;TRUE
OK;negbinomial.size; 5,629435e-08; 9,657216e-08;MYOM3;  85;FALSE
OK;negbinomial.size; 2,155569e-10; 4,085576e-10;STPG1; 887;TRUE
OK;negbinomial.size; 1,281237e-22; 3,550472e-22;NIPAL3; 922;TRUE
OK;negbinomial.size; 2,703807e-23; 7,627885e-23;RCAN3;1393;TRUE
OK;negbinomial.size; 4,595508e-48; 2,090962e-47;SRRM1;3766;TRUE
OK;negbinomial.size;9,719594e-191;1,906568e-189;CLIC4;3292;TRUE
OK;negbinomial.size; 1,317351e-12; 2,711670e-12;RUNX3;1023;TRUE
OK;negbinomial.size; 3,175406e-43; 1,340279e-42;SYF2;4054;TRUE
OK;negbinomial.size; 3,939180e-52; 1,907795e-51;RSRP1;2178;TRUE
OK;negbinomial.size; 1,818774e-01; 1,988544e-01;RP3-465N24.6;  69;FALSE
OK;negbinomial.size; 2,458352e-51; 1,176656e-50;TMEM50A;3924;TRUE
OK;negbinomial.size; 5,602807e-24; 1,605602e-23;RHCE; 114;FALSE
OK;negbinomial.size; 1,298232e-05; 1,973322e-05;TMEM57;1028;TRUE
OK;negbinomial.size; 2,114638e-11; 4,166665e-11;LDLRAP1; 769;TRUE
OK;negbinomial.size; 2,034135e-05; 3,059290e-05;RP11-70P17.1;  42;FALSE
OK;negbinomial.size; 9,720533e-24; 2,768403e-23;SEPN1;1743;TRUE
OK;negbinomial.size; 2,728390e-01; 2,912011e-01;RP1-317E23.3; 115;FALSE
OK;negbinomial.size; 6,525263e-09; 1,166742e-08;MTFR1L;2291;TRUE
OK;negbinomial.size; 1,494867e-22; 4,135453e-22;AUNIP; 365;TRUE
OK;negbinomial.size; 1,728842e-03; 2,297451e-03;PAQR7; 563;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;STMN1;3787;TRUE
OK;negbinomial.size; 2,344055e-03; 3,084888e-03;PAFAH2; 252;TRUE
OK;negbinomial.size; 1,145207e-03; 1,540431e-03;PDIK1L; 269;TRUE
OK;negbinomial.size; 2,701004e-84; 2,026373e-83;ZNF593;3180;TRUE
OK;negbinomial.size; 2,049341e-02; 2,486667e-02;CEP85; 257;TRUE
OK;negbinomial.size; 1,857016e-52; 9,044962e-52;SH3BGRL3;4191;TRUE
OK;negbinomial.size; 8,213541e-12; 1,643440e-11;UBXN11; 695;TRUE
OK;negbinomial.size; 2,820961e-09; 5,113188e-09;CD52;  77;FALSE
OK;negbinomial.size; 2,482443e-05; 3,718283e-05;DHDDS;1085;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;HMGN2;4116;TRUE
OK;negbinomial.size; 7,608138e-16; 1,744328e-15;RPS6KA1; 615;TRUE
OK;negbinomial.size; 1,761194e-11; 3,480547e-11;ARID1A;1580;TRUE
OK;negbinomial.size; 1,930480e-30; 6,408067e-30;PIGV;1073;TRUE
OK;negbinomial.size; 1,137443e-03; 1,530216e-03;ZDHHC18; 610;TRUE
OK;negbinomial.size;1,161626e-106;1,107860e-105;SFN; 382;TRUE
OK;negbinomial.size; 1,267010e-14; 2,791275e-14;GPN2;1676;TRUE
OK;negbinomial.size; 1,127932e-06; 1,809687e-06;GPATCH3; 662;TRUE
OK;negbinomial.size;1,162825e-173;2,038403e-172;NUDC;4068;TRUE
OK;negbinomial.size; 3,514132e-01; 3,693590e-01;KDF1;   7;FALSE
OK;negbinomial.size; 8,178391e-24; 2,332529e-23;TRNP1; 473;TRUE
OK;negbinomial.size; 5,151202e-10; 9,601328e-10;SLC9A1; 962;TRUE
OK;negbinomial.size; 2,111664e-02; 2,557281e-02;WDTC1; 517;TRUE
OK;negbinomial.size; 8,593010e-10; 1,588796e-09;TMEM222;2002;TRUE
OK;negbinomial.size; 9,754034e-27; 2,992836e-26;SYTL1; 377;TRUE
OK;negbinomial.size; 9,399830e-08; 1,595919e-07;MAP3K6; 328;TRUE
OK;negbinomial.size; 1,249817e-02; 1,550664e-02;GPR3; 174;FALSE
OK;negbinomial.size; 3,592616e-84; 2,687432e-83;WASF2;3836;TRUE
OK;negbinomial.size; 3,032250e-05; 4,522576e-05;AHDC1; 636;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;IFI6;1706;TRUE
OK;negbinomial.size; 4,374597e-06; 6,812512e-06;FAM76A; 541;TRUE
OK;negbinomial.size; 1,974232e-29; 6,421616e-29;STX12;1965;TRUE
OK;negbinomial.size; 2,787908e-11; 5,469279e-11;PPP1R8;1837;TRUE
OK;negbinomial.size; 5,516929e-25; 1,616572e-24;THEMIS2; 473;TRUE
OK;negbinomial.size; 3,547635e-39; 1,403742e-38;RPA2;2247;TRUE
OK;negbinomial.size; 1,690786e-18; 4,203105e-18;SMPDL3B; 166;FALSE
OK;negbinomial.size; 3,572934e-10; 6,704802e-10;XKR8;1188;TRUE
OK;negbinomial.size; 1,793297e-05; 2,705228e-05;EYA3; 984;TRUE
OK;negbinomial.size;3,062851e-162;4,861599e-161;DNAJC8;3770;TRUE
OK;negbinomial.size;1,299695e-175;2,307601e-174;ATPIF1;4067;TRUE
OK;negbinomial.size; 3,170649e-01; 3,352965e-01;RP5-1092A3.4;  27;FALSE
OK;negbinomial.size;7,482875e-104;6,916271e-103;SESN2; 991;TRUE
OK;negbinomial.size; 8,811717e-05; 1,279012e-04;MED18; 477;TRUE
OK;negbinomial.size; 9,127374e-65; 5,288638e-64;PHACTR4;1440;TRUE
OK;negbinomial.size; 8,271641e-52; 3,985649e-51;RCC1;2192;TRUE
OK;negbinomial.size; 4,159321e-14; 9,029199e-14;TRNAU1AP;2159;TRUE
